product_id,name,category,brand,unit_cost,list_price,launch_date
PROD-18130,BrandF Electronics #131,Electronics,BrandF,298.82,694.38,2023-07-17
PROD-33872,BrandC Food #132,Food,BrandC,71.69,102.93,2023-04-06
PROD-75515,BrandB Home #133,Home,BrandB,318.46,786.31,2020-09-17
PROD-71316,BrandA Electronics #134,Electronics,BrandA,443.76,957.55,2025-09-07
PROD-48468,BrandF Clothing #135,Clothing,BrandF,322.3,613.89,2022-04-02
PROD-23714,BrandB Home #136,Home,BrandB,448.02,634.39,2023-03-25
PROD-53578,BrandD Clothing #137,Clothing,BrandD,499.53,660.3,2025-05-21
PROD-25471,BrandB Electronics #138,Electronics,BrandB,180.88,353.34,2023-10-10
PROD-58197,BrandF Clothing #139,Clothing,BrandF,362.2,650.74,2024-05-30
PROD-91135,BrandE Clothing #140,Clothing,BrandE,270.9,626.1,2021-02-08
PROD-27612,BrandD Electronics #141,Electronics,BrandD,228.58,473.34,2022-10-05
PROD-20616,BrandC Food #142,Food,BrandC,121.45,220.83,2023-03-30
PROD-76386,BrandD Food #143,Food,BrandD,124.47,195.57,2021-01-20
PROD-12191,BrandC Food #144,Food,BrandC,94.12,176.62,2022-04-24
PROD-98506,BrandF Food #145,Food,BrandF,316.48,473.33,2024-12-27
PROD-79744,BrandE Electronics #146,Electronics,BrandE,72.74,152.78,2025-08-03
PROD-46303,BrandA Electronics #147,Electronics,BrandA,216.83,439.49,2024-12-09
PROD-42625,BrandE Electronics #148,Electronics,BrandE,262.62,596.7,2025-08-09
PROD-44817,BrandB Electronics #149,Electronics,BrandB,220.24,405.12,2025-12-28
PROD-45699,BrandB Food #150,Food,BrandB,427.75,699.11,2021-03-11
PROD-85559,BrandC Electronics #151,Electronics,BrandC,222.7,513.03,2025-02-18
PROD-81987,BrandB Food #152,Food,BrandB,43.25,92.09,2023-09-21
PROD-28412,BrandF Electronics #153,Electronics,BrandF,496.12,1065.69,2025-02-25
PROD-26194,BrandF Electronics #154,Electronics,BrandF,422.8,817.57,2023-10-30
PROD-58649,BrandA Electronics #155,Electronics,BrandA,330.7,777.53,2020-09-30
PROD-68529,BrandB Clothing #156,Clothing,BrandB,378.65,595.75,2023-05-18
PROD-75445,BrandC Food #157,Food,BrandC,65.84,117.33,2024-07-24
PROD-38217,BrandE Home #158,Home,BrandE,383.43,864.82,2020-09-29
PROD-53421,BrandD Electronics #159,Electronics,BrandD,105.46,153.92,2023-01-10
PROD-19384,BrandE Food #160,Food,BrandE,245.51,557.24,2023-12-04
PROD-51016,BrandA Home #161,Home,BrandA,90.64,156.18,2022-10-14
PROD-71874,BrandD Clothing #162,Clothing,BrandD,377.38,547.43,2024-10-17
PROD-37397,BrandB Electronics #163,Electronics,BrandB,124.48,173.65,2020-10-05
PROD-38679,BrandB Electronics #164,Electronics,BrandB,128.1,296.12,2022-01-26
PROD-51605,BrandE Electronics #165,Electronics,BrandE,56.39,125.99,2025-09-16
PROD-87994,BrandA Home #166,Home,BrandA,360.86,593.85,2023-02-01
PROD-64369,BrandA Clothing #167,Clothing,BrandA,149.33,214.98,2021-01-31
PROD-92713,BrandC Clothing #168,Clothing,BrandC,260.1,415.3,2020-09-11
PROD-15550,BrandE Home #169,Home,BrandE,167.46,260.5,2023-07-24
PROD-86414,BrandD Clothing #170,Clothing,BrandD,387.8,845.27,2025-08-02
PROD-13938,BrandA Food #171,Food,BrandA,114.79,178.92,2020-04-17
PROD-39011,BrandE Electronics #172,Electronics,BrandE,470.54,733.72,2020-08-28
PROD-48391,BrandC Clothing #173,Clothing,BrandC,162.03,216.91,2022-04-02
PROD-31292,BrandE Electronics #174,Electronics,BrandE,53.72,108.31,2021-04-01
PROD-99036,BrandB Electronics #175,Electronics,BrandB,121.67,258.76,2020-09-22
PROD-90352,BrandF Clothing #176,Clothing,BrandF,38.82,80.91,2021-10-16
PROD-61411,BrandB Food #177,Food,BrandB,235.43,466.7,2023-11-10
PROD-50765,BrandF Food #178,Food,BrandF,126.63,311.42,2024-12-15
PROD-78558,BrandC Food #179,Food,BrandC,443.25,827.67,2021-11-02
PROD-73696,BrandE Electronics #180,Electronics,BrandE,259.53,605.27,2024-03-15
PROD-53256,BrandD Home #181,Home,BrandD,118.22,245.33,2024-12-09
PROD-84444,BrandA Electronics #182,Electronics,BrandA,226.73,317.65,2020-01-16
PROD-27364,BrandA Home #183,Home,BrandA,99.61,226.32,2025-02-12
PROD-34991,BrandC Food #184,Food,BrandC,91.01,182.14,2021-02-06
PROD-11587,BrandB Food #185,Food,BrandB,151.73,316.24,2024-02-10
PROD-20718,BrandD Clothing #186,Clothing,BrandD,55.93,84.81,2024-07-02
PROD-27890,BrandA Home #187,Home,BrandA,95.95,175.11,2025-01-26
PROD-66234,BrandD Food #188,Food,BrandD,469.15,1105.65,2022-06-04
PROD-86996,BrandB Electronics #189,Electronics,BrandB,334.07,520.65,2023-12-16
PROD-63117,BrandB Home #190,Home,BrandB,460.71,598.99,2020-02-27
PROD-50086,BrandC Electronics #191,Electronics,BrandC,129.91,209.03,2022-09-06
PROD-34318,BrandD Clothing #192,Clothing,BrandD,428.79,808.29,2025-10-13
PROD-19128,BrandC Food #193,Food,BrandC,182.41,416.9,2020-12-13
PROD-62623,BrandC Home #194,Home,BrandC,73.81,152.93,2020-11-27
PROD-22674,BrandC Clothing #195,Clothing,BrandC,402.74,967.73,2024-03-14
PROD-81132,BrandC Electronics #196,Electronics,BrandC,31.71,58.56,2023-01-23
PROD-46797,BrandC Clothing #197,Clothing,BrandC,203.62,360.2,2022-09-24
PROD-41500,BrandF Clothing #198,Clothing,BrandF,410.02,646.89,2021-06-28
PROD-12398,BrandD Clothing #199,Clothing,BrandD,309.36,483.12,2021-01-10
PROD-31808,BrandC Clothing #200,Clothing,BrandC,260.0,567.67,2024-06-04
PROD-11201,BrandE Home #201,Home,BrandE,178.11,248.72,2022-02-23
PROD-75250,BrandD Electronics #202,Electronics,BrandD,39.38,62.66,2024-08-29
PROD-54088,BrandF Electronics #203,Electronics,BrandF,495.5,1170.9,2022-08-29
PROD-80728,BrandD Clothing #204,Clothing,BrandD,89.04,177.39,2022-05-20
PROD-60871,BrandB Electronics #205,Electronics,BrandB,129.14,175.1,2021-05-19
PROD-95886,BrandD Electronics #206,Electronics,BrandD,119.49,256.32,2023-12-14
PROD-80540,BrandE Clothing #207,Clothing,BrandE,454.15,866.53,2021-09-15
PROD-23282,BrandB Clothing #208,Clothing,BrandB,382.32,889.06,2025-06-15
PROD-20494,BrandB Clothing #209,Clothing,BrandB,229.75,486.82,2022-06-14
PROD-90033,BrandD Food #210,Food,BrandD,477.8,623.69,2024-11-21
PROD-34219,BrandF Home #211,Home,BrandF,28.29,43.76,2022-10-27
PROD-78858,BrandC Clothing #212,Clothing,BrandC,447.05,719.55,2022-06-28
PROD-66571,BrandD Clothing #213,Clothing,BrandD,32.09,68.76,2022-09-20
PROD-73170,BrandD Electronics #214,Electronics,BrandD,196.78,376.08,2022-08-25
PROD-34010,BrandD Electronics #215,Electronics,BrandD,28.89,63.47,2022-11-15
PROD-38174,BrandA Food #216,Food,BrandA,499.49,956.74,2025-04-28
PROD-59936,BrandC Food #217,Food,BrandC,457.37,774.26,2024-03-21
PROD-11997,BrandF Electronics #218,Electronics,BrandF,293.23,417.67,2020-03-16
PROD-38048,BrandF Electronics #219,Electronics,BrandF,110.49,170.5,2020-05-07
PROD-55679,BrandE Clothing #220,Clothing,BrandE,139.84,249.05,2020-02-20
PROD-28401,BrandA Clothing #221,Clothing,BrandA,225.87,443.1,2024-02-23
PROD-35719,BrandC Home #222,Home,BrandC,162.74,394.87,2021-03-27
PROD-98518,BrandA Electronics #223,Electronics,BrandA,12.61,20.02,2022-04-24
PROD-36083,BrandB Electronics #224,Electronics,BrandB,328.82,690.29,2024-12-19
PROD-91217,BrandF Clothing #225,Clothing,BrandF,307.49,456.02,2020-10-15
PROD-93442,BrandC Electronics #226,Electronics,BrandC,452.35,975.49,2020-12-01
PROD-70649,BrandB Electronics #227,Electronics,BrandB,239.47,314.57,2020-06-23
PROD-23767,BrandE Clothing #228,Clothing,BrandE,173.67,362.47,2021-09-17
PROD-28511,BrandE Clothing #229,Clothing,BrandE,256.74,384.05,2020-07-15
PROD-94080,BrandD Electronics #230,Electronics,BrandD,98.96,150.06,2023-10-10
PROD-10133,BrandE Food #231,Food,BrandE,313.52,617.85,2024-06-03
PROD-55342,BrandE Clothing #232,Clothing,BrandE,385.48,674.78,2021-02-07
PROD-63665,BrandD Electronics #233,Electronics,BrandD,78.42,146.3,2023-02-23
PROD-85445,BrandF Home #234,Home,BrandF,160.55,268.23,2021-10-26
PROD-90556,BrandB Clothing #235,Clothing,BrandB,434.16,1061.16,2020-06-24
PROD-35522,BrandC Home #236,Home,BrandC,253.75,418.38,2022-10-20
PROD-55228,BrandD Home #237,Home,BrandD,266.85,520.48,2024-03-08
PROD-67052,BrandE Clothing #238,Clothing,BrandE,361.76,841.17,2021-05-15
PROD-96866,BrandC Electronics #239,Electronics,BrandC,289.79,607.69,2024-09-23
PROD-60092,BrandC Home #240,Home,BrandC,36.65,61.84,2025-12-15
PROD-20962,BrandA Clothing #241,Clothing,BrandA,402.37,789.82,2020-05-03
PROD-93174,BrandD Electronics #242,Electronics,BrandD,461.57,646.01,2020-12-24
PROD-56120,BrandA Food #243,Food,BrandA,28.53,55.77,2021-09-26
PROD-26136,BrandC Clothing #244,Clothing,BrandC,62.38,113.39,2025-02-06
PROD-27124,BrandC Home #245,Home,BrandC,351.58,776.82,2020-11-07
PROD-28411,BrandE Food #246,Food,BrandE,303.03,702.27,2022-10-27
PROD-74912,BrandC Home #247,Home,BrandC,192.49,296.35,2023-03-23
PROD-95406,BrandA Food #248,Food,BrandA,270.55,378.19,2020-10-10
PROD-49722,BrandD Food #249,Food,BrandD,352.26,623.03,2020-04-02
PROD-18816,BrandB Clothing #250,Clothing,BrandB,253.23,491.51,2020-09-16
PROD-89964,BrandC Home #251,Home,BrandC,71.81,125.82,2020-05-03
PROD-67121,BrandB Home #252,Home,BrandB,46.54,95.61,2023-01-01
PROD-61367,BrandA Home #253,Home,BrandA,220.55,420.54,2025-08-14
PROD-15450,BrandF Home #254,Home,BrandF,461.6,1118.9,2022-02-13
PROD-97354,BrandB Food #255,Food,BrandB,279.77,501.14,2021-07-16
PROD-16929,BrandD Clothing #256,Clothing,BrandD,180.39,252.36,2021-05-29
PROD-64936,BrandE Home #257,Home,BrandE,454.54,755.59,2025-11-21
PROD-63743,BrandC Electronics #258,Electronics,BrandC,195.54,396.37,2025-10-02
PROD-56246,BrandF Electronics #259,Electronics,BrandF,255.55,410.73,2023-11-22
PROD-59623,BrandC Clothing #260,Clothing,BrandC,60.02,97.4,2022-10-12
PROD-45808,BrandF Food #261,Food,BrandF,369.23,630.46,2020-12-16
PROD-61572,BrandC Food #262,Food,BrandC,350.75,770.03,2025-07-28
PROD-42745,BrandA Electronics #263,Electronics,BrandA,397.53,965.27,2020-01-03
PROD-52628,BrandF Electronics #264,Electronics,BrandF,163.95,282.07,2020-12-25
PROD-71030,BrandF Electronics #265,Electronics,BrandF,219.15,336.3,2024-01-27
PROD-76812,BrandF Clothing #266,Clothing,BrandF,85.83,154.9,2021-02-06
PROD-23801,BrandA Electronics #267,Electronics,BrandA,482.32,830.66,2020-08-25
PROD-99296,BrandF Food #268,Food,BrandF,44.87,111.64,2023-07-30
PROD-18702,BrandC Electronics #269,Electronics,BrandC,325.21,603.8,2020-02-27
PROD-34820,BrandF Clothing #270,Clothing,BrandF,353.22,747.11,2021-08-14
PROD-41214,BrandF Clothing #271,Clothing,BrandF,80.55,193.04,2023-11-09
PROD-39109,BrandB Clothing #272,Clothing,BrandB,183.93,377.95,2021-02-09
PROD-41668,BrandC Home #273,Home,BrandC,23.48,37.55,2024-07-22
PROD-39074,BrandB Electronics #274,Electronics,BrandB,279.19,566.45,2020-07-26
PROD-49241,BrandB Clothing #275,Clothing,BrandB,497.48,886.63,2023-09-06
PROD-78694,BrandD Food #276,Food,BrandD,216.08,390.42,2020-06-16
PROD-84471,BrandC Electronics #277,Electronics,BrandC,495.02,1225.27,2024-05-23
PROD-41321,BrandD Home #278,Home,BrandD,64.86,106.0,2024-07-08
PROD-33258,BrandE Home #279,Home,BrandE,197.44,367.78,2024-10-08
PROD-70906,BrandB Food #280,Food,BrandB,451.18,673.09,2021-09-10
PROD-15361,BrandA Home #281,Home,BrandA,438.59,664.14,2021-06-01
PROD-50129,BrandE Clothing #282,Clothing,BrandE,163.15,330.25,2025-11-14
PROD-29800,BrandB Clothing #283,Clothing,BrandB,339.95,748.3,2024-05-18
PROD-64702,BrandB Electronics #284,Electronics,BrandB,443.31,914.88,2021-02-05
PROD-17046,BrandD Electronics #285,Electronics,BrandD,383.9,650.76,2020-03-04
PROD-84611,BrandB Electronics #286,Electronics,BrandB,314.98,432.01,2022-02-15
PROD-34299,BrandB Clothing #287,Clothing,BrandB,77.98,145.38,2023-12-28
PROD-56265,BrandB Clothing #288,Clothing,BrandB,38.36,73.08,2022-04-01
PROD-61501,BrandD Electronics #289,Electronics,BrandD,308.08,685.41,2024-11-05
PROD-52765,BrandF Food #290,Food,BrandF,251.14,519.44,2023-01-01
PROD-50319,BrandF Electronics #291,Electronics,BrandF,120.54,282.73,2025-12-12
PROD-34027,BrandE Clothing #292,Clothing,BrandE,147.8,331.01,2025-03-23
PROD-79527,BrandF Electronics #293,Electronics,BrandF,197.26,343.05,2022-10-29
PROD-56431,BrandD Food #294,Food,BrandD,248.77,512.13,2025-01-03
PROD-29419,BrandC Clothing #295,Clothing,BrandC,196.35,431.33,2022-09-09
PROD-33617,BrandE Food #296,Food,BrandE,194.87,477.09,2020-01-22
PROD-49476,BrandB Electronics #297,Electronics,BrandB,59.63,107.74,2021-11-06
PROD-85921,BrandE Clothing #298,Clothing,BrandE,433.06,899.87,2022-06-16
PROD-96523,BrandF Home #299,Home,BrandF,305.36,540.85,2025-11-10
PROD-44997,BrandC Electronics #300,Electronics,BrandC,74.76,163.38,2024-12-19
PROD-45562,BrandD Clothing #301,Clothing,BrandD,213.09,510.22,2020-11-17
PROD-21619,BrandE Electronics #302,Electronics,BrandE,209.52,503.49,2020-01-01
PROD-59111,BrandE Electronics #303,Electronics,BrandE,301.11,448.2,2023-03-05
PROD-31597,BrandB Clothing #304,Clothing,BrandB,305.22,471.54,2023-03-15
PROD-83759,BrandF Electronics #305,Electronics,BrandF,323.32,713.22,2024-05-30
PROD-58112,BrandD Clothing #306,Clothing,BrandD,349.56,719.12,2021-07-22
PROD-29968,BrandA Home #307,Home,BrandA,53.47,127.59,2024-11-15
PROD-92465,BrandA Electronics #308,Electronics,BrandA,153.85,257.94,2022-06-23
PROD-83388,BrandE Electronics #309,Electronics,BrandE,10.64,24.66,2022-01-03
PROD-37050,BrandC Home #310,Home,BrandC,228.41,484.35,2022-07-10
PROD-20811,BrandA Clothing #311,Clothing,BrandA,215.86,331.25,2025-09-01
PROD-33794,BrandD Home #312,Home,BrandD,367.69,533.81,2022-05-08
PROD-43902,BrandD Clothing #313,Clothing,BrandD,85.22,182.65,2023-05-13
PROD-46590,BrandA Food #314,Food,BrandA,316.48,471.6,2025-05-09
PROD-84008,BrandC Home #315,Home,BrandC,154.73,348.64,2020-02-10
PROD-97097,BrandC Electronics #316,Electronics,BrandC,192.19,378.33,2023-03-21
PROD-77255,BrandE Home #317,Home,BrandE,360.2,674.38,2024-04-01
PROD-86069,BrandD Food #318,Food,BrandD,37.63,61.36,2025-06-04
PROD-21261,BrandA Home #319,Home,BrandA,172.71,428.43,2020-05-14
PROD-23470,BrandD Electronics #320,Electronics,BrandD,196.88,426.56,2024-05-12
PROD-91731,BrandF Clothing #321,Clothing,BrandF,358.44,800.64,2024-10-25
PROD-65237,BrandA Electronics #322,Electronics,BrandA,101.21,224.93,2022-02-08
PROD-31215,BrandF Home #323,Home,BrandF,473.81,948.01,2024-06-23
PROD-81267,BrandA Electronics #324,Electronics,BrandA,498.89,1211.12,2022-12-17
PROD-25746,BrandD Electronics #325,Electronics,BrandD,409.82,819.88,2023-12-13
PROD-79120,BrandC Home #326,Home,BrandC,151.26,291.03,2022-05-04
PROD-89480,BrandE Clothing #327,Clothing,BrandE,332.61,541.64,2021-01-23
PROD-53996,BrandF Food #328,Food,BrandF,43.41,71.11,2024-12-21
PROD-69073,BrandF Clothing #329,Clothing,BrandF,435.9,952.12,2021-04-19
PROD-75864,BrandF Food #330,Food,BrandF,258.96,440.68,2021-02-15
PROD-89231,BrandE Electronics #331,Electronics,BrandE,89.87,195.42,2025-04-26
PROD-62522,BrandB Clothing #332,Clothing,BrandB,165.05,403.26,2025-08-14
PROD-36414,BrandC Clothing #333,Clothing,BrandC,400.77,732.27,2023-08-28
PROD-28130,BrandE Clothing #334,Clothing,BrandE,435.37,616.83,2023-06-26
PROD-41998,BrandB Clothing #335,Clothing,BrandB,260.82,547.68,2022-03-01
PROD-15044,BrandD Electronics #336,Electronics,BrandD,241.2,316.32,2023-09-02
